,state,country,Lat,Long,date,confirmed,deaths,recovered,active,population,density,fertility,age,urban_percentage,icu,index,humidity,sunHour,tempC,windspeedKmph
0,,Afghanistan,33,65,22-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,0,65,8.7,-1,8
1,,Afghanistan,33,65,23-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,1,59,8.7,-3,8
2,,Afghanistan,33,65,24-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,2,71,7.1,0,7
3,,Afghanistan,33,65,25-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,3,79,8.7,0,7
4,,Afghanistan,33,65,26-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,4,64,8.7,-1,8
5,,Afghanistan,33,65,27-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,5,66,8.7,-1,6
6,,Afghanistan,33,65,28-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,6,59,8.7,-2,9
7,,Afghanistan,33,65,29-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,7,56,8.7,-3,8
8,,Afghanistan,33,65,30-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,8,66,8.7,-2,8
9,,Afghanistan,33,65,31-01-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,9,70,4,-1,8
10,,Afghanistan,33,65,01-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,10,60,8.7,-1,8
11,,Afghanistan,33,65,02-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,11,57,8.7,-1,8
12,,Afghanistan,33,65,03-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,12,73,4,0,5
13,,Afghanistan,33,65,04-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,13,89,4,-1,4
14,,Afghanistan,33,65,05-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,14,70,8.7,-2,9
15,,Afghanistan,33,65,06-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,15,57,7.1,-1,9
16,,Afghanistan,33,65,07-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,16,50,8.7,-1,10
17,,Afghanistan,33,65,08-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,17,45,8.7,4,8
18,,Afghanistan,33,65,09-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,18,48,8.7,3,7
19,,Afghanistan,33,65,10-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,19,65,7.2,1,6
20,,Afghanistan,33,65,11-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,20,97,4.1,1,3
21,,Afghanistan,33,65,12-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,21,99,4.1,1,3
22,,Afghanistan,33,65,13-02-2020,0,0,0,0,38742911,60,4.6,18,0.25,0.5,22,81,4.1,6,9
